Date,Profit,Sales
9/3/2015,-1633.7,11219.29966
9/4/2015,1462.19,10743.93958
9/5/2015,-1772.46,43860.07614
9/6/2015,-2688.3,20772.22553
9/7/2015,-12397.69,125534.8488
9/8/2015,471.64,772.3581356
9/9/2015,1145.88,47040.65757
9/10/2015,-5061.45,38150.13849
9/11/2015,-7278.11,27517.89767
9/12/2015,-24083.71,47857.64276
9/13/2015,7011.49,55677.97945
9/14/2015,-19847.47,25707.67022
9/15/2015,-1646.16,4927.810636
9/16/2015,11578.99,66945.64731
9/17/2015,13509.9,153911.4743
9/18/2015,-29773.82,40460.58756
9/19/2015,-19724.02,53362.11159
9/20/2015,-18723.73,80291.5302
9/21/2015,27346.05,99106.8386
9/22/2015,25779.1,133014.3787
9/23/2015,23736.53,78914.45329
9/24/2015,-10443,15805.00319
9/25/2015,2059.2,53148.20046
9/26/2015,2630.2,60816.11107
9/27/2015,-63134.92,64225.80831
9/28/2015,53874.69,111031.877
9/29/2015,-11242.8,100141.0866
9/30/2015,2367.38,97088.91491
10/1/2015,-3863.76,12761.57698
10/2/2015,-16721.82,67548.13197
10/3/2015,1385.77,24108.05541
10/4/2015,-20613.8,20749.53249
10/5/2015,138.67,6082.92283
10/6/2015,-4437.52,20984.22743
10/7/2015,6754.4,9288.991426
10/8/2015,-4399.93,53936.77096
10/9/2015,-4008.71,60122.80013
10/10/2015,-6372.23,54819.89806
10/11/2015,15150.54,17674.67352
10/12/2015,-10890.52,59680.1031
10/13/2015,37603.43,86917.11778
10/14/2015,-30335.31,37646.0049
10/15/2015,11405.32,65408.04784
10/16/2015,21338.98,41133.711
10/17/2015,5237.98,114095.3686
10/18/2015,2433.18,23434.18655
10/19/2015,-17346.94,69040.77539
10/20/2015,45300.41,178075.2152
10/21/2015,-11779.86,22535.17539
10/22/2015,12693.19,24998.66165
10/23/2015,14482.54,76028.36583
10/24/2015,42201.34,83999.35578
10/25/2015,18000.34,114181.2832
10/26/2015,12602.67,86145.84983
10/27/2015,9919.77,33316.02143
10/28/2015,-7494.63,118742.6672
10/29/2015,19626.87,98415.89881
10/30/2015,25653.64,105635.6192
10/31/2015,6642.28,53047.26647
11/1/2015,-2631.94,34850.93142
11/2/2015,-22659.58,38573.84603
11/3/2015,230.61,2376.527712
11/4/2015,-1842.37,58448.25654
11/5/2015,30257.82,53664.5644
11/6/2015,-8487.05,57464.74515
11/7/2015,-15395.75,129193.2069
11/8/2015,3578.19,42624.76073
11/9/2015,-8580.52,21959.61714
11/10/2015,-1019.8,8518.187598
11/11/2015,-14993.88,3890.562659
11/12/2015,1194.64,1886.658468
11/13/2015,7521.66,8922.689847
11/14/2015,-13742.58,31007.97596
11/15/2015,-7524.48,5782.785038
11/16/2015,4944.06,27020.22042
11/17/2015,-5694,25425.79142
11/18/2015,-39897.49,16166.16145
11/19/2015,1096.08,24778.14784
